elapsed_seconds,mode,component,pid,rss_kib,cpu_percent,cpu_time
161.559,old,rust,2624,19888,0.0,0:00.07
161.563,new,go,2625,21648,0.0,0:00.01
161.565,new,rust,2626,20032,0.0,0:00.02
166.576,old,go,2621,21952,0.0,0:00.07
166.581,old,rust,2624,19888,0.0,0:00.07
166.585,new,go,2625,21648,0.0,0:00.01
166.588,new,rust,2626,20032,0.0,0:00.02
171.6,old,go,2621,22064,0.0,0:00.07
171.605,old,rust,2624,19888,0.0,0:00.07
171.61,new,go,2625,21648,0.0,0:00.01
171.616,new,rust,2626,20032,0.0,0:00.02
176.629,old,go,2621,22080,0.0,0:00.07
176.634,old,rust,2624,19888,0.0,0:00.07
176.638,new,go,2625,21648,0.0,0:00.01
176.643,new,rust,2626,20032,0.0,0:00.02
181.656,old,go,2621,22096,0.0,0:00.07
181.661,old,rust,2624,19888,0.0,0:00.07
181.665,new,go,2625,21648,0.0,0:00.01
181.67,new,rust,2626,20032,0.0,0:00.02
186.683,old,go,2621,22096,0.0,0:00.08
186.688,old,rust,2624,19888,0.0,0:00.08
186.694,new,go,2625,21648,0.0,0:00.01
186.7,new,rust,2626,20048,0.0,0:00.02
191.713,old,go,2621,22096,0.0,0:00.08
191.718,old,rust,2624,19888,0.0,0:00.08
191.722,new,go,2625,21648,0.0,0:00.01
191.727,new,rust,2626,20048,0.0,0:00.02
196.741,old,go,2621,22096,0.0,0:00.08
196.746,old,rust,2624,19888,0.0,0:00.08
196.75,new,go,2625,21648,0.0,0:00.01
196.755,new,rust,2626,20048,0.0,0:00.02
201.768,old,go,2621,22112,0.0,0:00.08
201.773,old,rust,2624,19888,0.0,0:00.08
201.778,new,go,2625,21648,0.0,0:00.01
201.783,new,rust,2626,20048,0.0,0:00.02
206.793,old,go,2621,22112,0.0,0:00.08
206.797,old,rust,2624,19888,0.0,0:00.08
206.801,new,go,2625,21648,0.0,0:00.01
206.803,new,rust,2626,20048,0.0,0:00.02
211.816,old,go,2621,22128,0.0,0:00.08
211.821,old,rust,2624,19888,0.0,0:00.08
211.826,new,go,2625,21648,0.0,0:00.01
211.832,new,rust,2626,20048,0.0,0:00.02
216.845,old,go,2621,22128,0.0,0:00.08
216.85,old,rust,2624,19888,0.0,0:00.08
216.854,new,go,2625,21648,0.0,0:00.01
216.859,new,rust,2626,20048,0.0,0:00.02
221.87,old,go,2621,22128,0.0,0:00.09
221.875,old,rust,2624,19888,0.0,0:00.09
221.88,new,go,2625,21648,0.0,0:00.01
221.885,new,rust,2626,20048,0.0,0:00.02
